date,GES Temp Measures,EMM Temp Measures
1979-01-01,7.435217123377401,8.13128709700651
1979-02-01,9.440712659095968,9.891388362151046
1979-03-01,12.197124331476278,12.475023246766877
1979-04-01,13.662326549352859,13.928317869363285
1979-05-01,17.79236530099246,17.949099658546675
1979-06-01,20.484674376340674,20.161337028498984
1979-07-01,21.913246538770338,21.41278517573478
1979-08-01,20.759399792192532,20.516586825133658
1979-09-01,21.38211073479008,21.138273969244345
1979-10-01,17.048411250040086,17.303190937392717
1979-11-01,10.576244377950314,11.360830702776301
1979-12-01,7.819832705570003,9.009090645698931
1980-01-01,8.671481494710765,9.552286283545218
1980-02-01,10.731922113599701,11.102467214314718
1980-03-01,11.052435098760203,12.257029053377417
1980-04-01,14.03778461768373,14.428897128257601
1980-05-01,15.97002004250847,16.180924534387714
1980-06-01,18.13119331387642,18.328571032224627
1980-07-01,21.473685873407362,21.017166084027977
1980-08-01,20.026798683254246,19.693053205662363
1980-09-01,19.147677352528298,18.934110458306463
1980-10-01,16.70262115144676,16.980236576815738
1980-11-01,11.13485272351576,12.69301744015634
1980-12-01,7.737415080814446,8.720678805059498
1981-01-01,8.671481494710765,9.116297896766298
1981-02-01,10.823497252216988,11.48193858799267
1981-03-01,11.372948083920704,11.804892948569647
1981-04-01,14.367455116705962,15.115175144483683
1981-05-01,17.600057509896164,18.304349455181352
1981-06-01,22.17881444076047,23.067926273691793
1981-07-01,21.09822780507649,21.30782500854726
1981-08-01,21.16233040210859,20.82339346768179
1981-09-01,19.477347851550526,19.838382667922
1981-10-01,14.58723544938745,15.36546477393084
1981-11-01,12.435219691881223,13.169375122007384
1981-12-01,9.02862453531818,10.198195004699176
1982-01-01,8.253379511373204,8.995353188472956
1982-02-01,10.219101337342899,11.01365476515605
1982-03-01,10.6037169195355,11.21550124051666
1982-04-01,12.801520246350368,13.3066307252526
1982-05-01,16.913243970266517,17.79569633727261
1982-06-01,17.755735245545548,17.81184405530146
1982-07-01,20.466359348617218,19.935268976095095
1982-08-01,20.530461945649318,20.67806400542215
1982-09-01,18.479178840622108,19.49120673030175
1982-10-01,15.35646661377265,16.38277100974833
1982-11-01,8.790529174913235,9.883314503136623
1982-12-01,7.1147041382169,9.011337729578779
1983-01-01,6.995656458014428,7.380418208665034
1983-02-01,10.979174987866372,10.860251443881982
1983-03-01,12.481007261189866,12.466949387752454
1983-04-01,12.828992787935555,12.991750223690046
1983-05-01,17.01397662274553,16.8026116784984
1983-06-01,20.017641169392515,19.781865654821033
1983-07-01,21.015810180320933,20.42777437597499
1983-08-01,22.29786212096294,21.340120444604956
1983-09-01,21.04328272190612,20.863762762753915
1983-10-01,17.572584968310977,17.214378488234047
1983-11-01,10.933387418557732,12.111699591117777
1983-12-01,10.319833989821916,10.561518660348277
1984-01-01,8.067085579836675,8.648014073929676
1984-02-01,9.477342714542882,10.488853929218457
1984-03-01,13.241080911713343,14.235124511911415
1984-04-01,13.607381466182485,14.477340282344148
1984-05-01,19.037787186187554,19.798013372849883
1984-06-01,19.953538572360415,20.290518772729776
1984-07-01,23.14035339624197,23.334363621167803
1984-08-01,21.64767863678021,21.96180758871564
1984-09-01,21.931561566493794,22.268614231263772
1984-10-01,14.623865504834363,15.809527019724188
1984-11-01,10.109211171002155,11.37697842080515
1984-12-01,6.839978722365041,7.840628172487229
1985-01-01,5.32898893517982,6.2016347925590605
1985-02-01,9.440712659095968,11.029802483184897
1985-03-01,9.990163490799684,11.021728624170473
1985-04-01,16.116540264296127,16.14862909833002
1985-05-01,16.684306123723303,19.024118790552407
1985-06-01,21.409583276375262,20.546741368341177
1985-07-01,22.49932742592097,21.67332964526906
1985-08-01,20.19163393276536,20.53273454316251
1985-09-01,18.26855602180235,19.02292290746513
1985-10-01,15.539616891007224,16.705725370325304
1985-11-01,9.376610062063868,11.52230788306479
1985-12-01,5.145838657945249,6.83139579568417
1986-01-01,10.035951060108328,10.973285470083926
1986-02-01,11.33631802847379,12.410432374651482
1986-03-01,13.708114118661502,14.105942767680624
1986-04-01,14.220934894918305,14.69533447573361
1986-05-01,17.178811872256645,17.81184405530146
1986-06-01,19.477347851550526,20.064450720325887
1986-07-01,20.594564542681418,21.243234136431862
1986-08-01,20.301524099106103,20.799171890638515
1986-09-01,16.665991095999843,18.231684724051533
1986-10-01,15.713609654380065,17.44852039965236
1986-11-01,11.07990764034539,14.17053363979602
1986-12-01,6.748403583747756,8.664161791958525
1987-01-01,6.217267779767496,8.430019880540216
1987-02-01,9.440712659095968,11.490012447007093
1987-03-01,10.796024710631801,12.701091299170765
1987-04-01,15.933389987061556,16.90757184568592
1987-05-01,17.957200550503575,19.1117353566238
1987-06-01,19.413245254518426,20.61347313330675
1987-07-01,18.589069006962852,20.080598438354738
1987-08-01,19.70628569809374,21.009092225013553
1987-09-01,18.60738403468631,20.18555860554226
1987-10-01,16.75756623461713,18.934110458306463
1987-11-01,10.237416365066359,12.588057272968822
1987-12-01,6.977341430290971,9.197036486910541
1988-01-01,6.969284944680635,8.946746857463383
1988-02-01,10.174294938034276,12.087478014074504
1988-03-01,11.758162411619232,13.992908741478681
1988-04-01,15.098900844349803,15.389686350974115
1988-05-01,17.634389740042483,17.141713757104228
1988-06-01,19.863138429758827,20.451995953018265
1988-07-01,21.673619328925035,23.96412462429291
1988-08-01,21.16233040210859,21.56618849700884
1988-09-01,19.835872609896896,20.54888226119136
1988-10-01,16.93935348297629,18.230819469675257
1988-11-01,11.519468305708362,13.040193377776593
1988-12-01,7.325326957036658,8.930599139434534
